Package,Used_in_final_scripts,Exact_version,Evidence_class,Evidence_file,Evidence_location,Current_version_if_checked,Current_version_is_archived_evidence,Verification_status,Notes
edgeR,YES,4.8.2,ARCHIVED_EXACT,edgeR_DESCRIPTION_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision local library snapshot
fgsea,YES,1.32.4,ARCHIVED_PARTIAL,R_sessionInfo_original_scTenifold_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,"Exact version exists in an archived original-analysis environment, but exact final revision run environment was not separately captured"
data.table,YES,1.18.6.1,ARCHIVED_EXACT,R_sessionInfo_revision_multiverse_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision analysis record
Matrix,YES,1.7-4,ARCHIVED_EXACT,R_sessionInfo_revision_multiverse_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision analysis record
cowplot,YES,1.2.0,ARCHIVED_EXACT,R_sessionInfo_Figure5_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Final Figure 5 rebuild record
scales,YES,1.4.0,ARCHIVED_EXACT,R_sessionInfo_Figure5_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Final Figure 5 rebuild record
UCell,NO (upstream final analysis dependency),Exact archived version not recoverable.,NOT_RECOVERABLE,NA,NA,Not checked,NO,NOT_RECOVERABLE,Used upstream; no verifiable archived version record located
meta,NO (upstream final analysis dependency),Exact archived version not recoverable.,NOT_RECOVERABLE,NA,NA,Not checked,NO,NOT_RECOVERABLE,No verifiable archived version record located
numpy,YES,Exact archived version not recoverable.,NOT_RECOVERABLE,NA,NA,Not checked,NO,NOT_RECOVERABLE,Imported by final public Python scripts; no contemporaneous environment capture located
pandas,YES,Exact archived version not recoverable.,NOT_RECOVERABLE,NA,NA,Not checked,NO,NOT_RECOVERABLE,Imported by final public Python scripts; no contemporaneous environment capture located
scipy,YES,Exact archived version not recoverable.,NOT_RECOVERABLE,NA,NA,Not checked,NO,NOT_RECOVERABLE,Imported by final public Python scripts; no contemporaneous environment capture located
scikit-learn,YES,Exact archived version not recoverable.,NOT_RECOVERABLE,NA,NA,Not checked,NO,NOT_RECOVERABLE,Imported by final public Python scripts; no contemporaneous environment capture located
matplotlib,YES,Exact archived version not recoverable.,NOT_RECOVERABLE,NA,NA,Not checked,NO,NOT_RECOVERABLE,Imported by final public Python scripts; no contemporaneous environment capture located
Pillow,YES,Exact archived version not recoverable.,NOT_RECOVERABLE,NA,NA,Not checked,NO,NOT_RECOVERABLE,Imported by final public Python scripts; no contemporaneous environment capture located
reportlab,YES,Exact archived version not recoverable.,NOT_RECOVERABLE,NA,NA,Not checked,NO,NOT_RECOVERABLE,Imported by final public Python scripts; no contemporaneous environment capture located
pypdfium2,YES,Exact archived version not recoverable.,NOT_RECOVERABLE,NA,NA,Not checked,NO,NOT_RECOVERABLE,Imported by final public Python scripts; no contemporaneous environment capture located
